Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","styczeń 2015",33930,26088,116,26204,26136,116,26252
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","styczeń 2015",89247,48800,8574,57374,54127,12618,66745
"Dziennik Łódzki","Polska Press Sp. z o.o.","styczeń 2015",35219,25515,72,25587,25515,72,25587
"Dziennik Polski","Polska Press Sp. z o.o.","styczeń 2015",27597,20047,147,20194,20153,147,20300
"Dziennik Wschodni","Corner Media Sp. z o.o.","styczeń 2015",10827,6989,0,6989,6989,0,6989
"Dziennik Zachodni","Polska Press Sp. z o.o.","styczeń 2015",62711,45201,263,45464,45372,263,45635
"Echo Dnia","Polska Press Sp. z o.o.","styczeń 2015",29436,21313,1353,22666,22385,1627,24012
"Express Bydgoski","""Express Media"" Sp. z o.o.","styczeń 2015",18913,11910,91,12001,12484,91,12575
"Express Ilustrowany","Polska Press Sp. z o.o.","styczeń 2015",40749,31582,20,31602,31582,20,31602
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","styczeń 2015",452988,324703,237,324940,324703,237,324940
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","styczeń 2015",23718,17200,116,17316,17211,116,17327
"Gazeta Krakowska","Polska Press Sp. z o.o.","styczeń 2015",25832,18317,193,18510,18527,193,18720
"Gazeta Lubuska","Polska Press Sp. z o.o.","styczeń 2015",26213,21578,297,21875,21766,297,22063
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","styczeń 2015",24927,16398,30,16428,16585,30,16615
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","styczeń 2015",38278,25557,950,26507,25557,950,26507
"Gazeta Polska Codziennie","Forum SA","styczeń 2015",61465,18512,425,18937,18512,435,18947
"Gazeta Pomorska","Polska Press Sp. z o.o.","styczeń 2015",49106,43231,355,43586,43541,501,44042
"Gazeta Wrocławska","Polska Press Sp. z o.o.","styczeń 2015",24428,17859,259,18118,17899,259,18158
"Gazeta Współczesna","Polska Press Sp. z o.o.","styczeń 2015",8773,6917,55,6972,6923,626,7549
"Gazeta Wyborcza","Agora SA","styczeń 2015",262383,166621,2238,168859,170408,15234,185642
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","styczeń 2015",29965,23892,267,24159,24072,267,24339
"Głos Wielkopolski","Polska Press Sp. z o.o.","styczeń 2015",42804,32573,458,33031,32577,458,33035
"Kurier Lubelski","Polska Press Sp. z o.o.","styczeń 2015",8283,4748,18,4766,4748,18,4766
"Kurier Poranny","Polska Press Sp. z o.o.","styczeń 2015",7389,5549,29,5578,5653,454,6107
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","styczeń 2015",21737,12544,45,12589,14132,45,14177
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","styczeń 2015",21913,15525,109,15634,16890,368,17258
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","styczeń 2015",19081,13442,104,13546,13796,104,13900
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","styczeń 2015",10186,2927,1987,4914,3114,2287,5401
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","styczeń 2015",11000,3729,69,3798,3729,69,3798
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","styczeń 2015",56140,28182,372,28554,28182,372,28554
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","styczeń 2015",15078,7934,2770,10704,11258,2770,14028
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","styczeń 2015",67782,47804,10120,57924,48283,10120,58403
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","styczeń 2015",10008,4959,19,4978,4959,19,4978
"Super Express","ZPR Media SA","styczeń 2015",264861,157625,0,157625,158345,0,158345
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","styczeń 2015",16188,9831,0,9831,9831,0,9831
"Sumy dla: wszystkich tytułów",,,46882615,31042660,722783,31765443,31495602,1171612,32667214
"Średnie dla: wszystkich tytułów",,,59121,39146,911,40057,39717,1477,41194
