Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","lipiec 2015",33493,24464,568,25032,24520,568,25088
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","lipiec 2015",48241,30684,9325,40009,35924,12833,48757
"Dziennik Łódzki","Polska Press Sp. z o.o.","lipiec 2015",31339,21454,101,21555,21454,101,21555
"Dziennik Polski","Polska Press Sp. z o.o.","lipiec 2015",25188,17694,135,17829,18125,135,18260
"Dziennik Wschodni","Corner Media Sp. z o.o.","lipiec 2015",9735,5961,0,5961,5983,0,5983
"Dziennik Zachodni","Polska Press Sp. z o.o.","lipiec 2015",55144,38170,69,38239,38341,69,38410
"Echo Dnia","Polska Press Sp. z o.o.","lipiec 2015",25107,17373,288,17661,18123,440,18563
"Express Bydgoski","""Express Media"" Sp. z o.o.","lipiec 2015",16338,10453,118,10571,10875,118,10993
"Express Ilustrowany","Polska Press Sp. z o.o.","lipiec 2015",37325,27778,66,27844,27778,66,27844
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","lipiec 2015",418528,297042,212,297254,297043,212,297255
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","lipiec 2015",19997,14419,90,14509,14428,90,14518
"Gazeta Krakowska","Polska Press Sp. z o.o.","lipiec 2015",22454,15825,124,15949,15922,124,16046
"Gazeta Lubuska","Polska Press Sp. z o.o.","lipiec 2015",23044,18567,257,18824,18571,257,18828
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","lipiec 2015",22241,14446,73,14519,15123,73,15196
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","lipiec 2015",35637,24067,1619,25686,24067,1619,25686
"Gazeta Polska Codziennie","Forum SA","lipiec 2015",57689,17845,225,18070,17845,284,18129
"Gazeta Pomorska","Polska Press Sp. z o.o.","lipiec 2015",45406,39570,319,39889,39677,337,40014
"Gazeta Wrocławska","Polska Press Sp. z o.o.","lipiec 2015",23046,15462,174,15636,15566,174,15740
"Gazeta Współczesna","Polska Press Sp. z o.o.","lipiec 2015",8047,5981,26,6007,6028,26,6054
"Gazeta Wyborcza","Agora SA","lipiec 2015",246656,150646,2227,152873,156622,16962,173584
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","lipiec 2015",28453,21470,80,21550,21637,80,21717
"Głos Wielkopolski","Polska Press Sp. z o.o.","lipiec 2015",36957,28198,290,28488,28202,290,28492
"Kurier Lubelski","Polska Press Sp. z o.o.","lipiec 2015",7841,4128,33,4161,4128,33,4161
"Kurier Poranny","Polska Press Sp. z o.o.","lipiec 2015",6720,5109,35,5144,5179,35,5214
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","lipiec 2015",20568,10856,54,10910,12793,54,12847
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","lipiec 2015",18615,13548,155,13703,14139,155,14294
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","lipiec 2015",16426,12186,92,12278,12544,92,12636
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","lipiec 2015",10380,2748,1821,4569,3111,2121,5232
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","lipiec 2015",10750,3440,69,3509,3440,69,3509
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","lipiec 2015",68441,34365,381,34746,34366,381,34747
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","lipiec 2015",13088,7783,2597,10380,9209,2597,11806
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","lipiec 2015",62583,45523,9525,55048,45822,9525,55347
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","lipiec 2015",10824,5396,22,5418,5396,22,5418
"Super Express","ZPR Media SA","lipiec 2015",250968,141505,0,141505,142225,0,142225
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","lipiec 2015",14467,7977,0,7977,7977,0,7977
"Sumy dla: wszystkich tytułów",,,46677090,30240873,762566,31003439,30747219,1255378,32002597
"Średnie dla: wszystkich tytułów",,,53467,34640,874,35514,35220,1438,36658
