Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","sierpień 2015",31118,22686,311,22997,22734,311,23045
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","sierpień 2015",47864,30869,9352,40221,35724,13259,48983
"Dziennik Łódzki","Polska Press Sp. z o.o.","sierpień 2015",29686,20836,57,20893,20836,57,20893
"Dziennik Polski","Polska Press Sp. z o.o.","sierpień 2015",25706,18110,247,18357,18489,247,18736
"Dziennik Wschodni","Corner Media Sp. z o.o.","sierpień 2015",9417,6003,0,6003,6003,0,6003
"Dziennik Zachodni","Polska Press Sp. z o.o.","sierpień 2015",50563,35712,214,35926,35896,214,36110
"Echo Dnia","Polska Press Sp. z o.o.","sierpień 2015",24099,17155,377,17532,17603,549,18152
"Express Bydgoski","""Express Media"" Sp. z o.o.","sierpień 2015",14935,10587,96,10683,10606,96,10702
"Express Ilustrowany","Polska Press Sp. z o.o.","sierpień 2015",34409,25683,60,25743,25683,60,25743
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","sierpień 2015",421860,300959,213,301172,300959,213,301172
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","sierpień 2015",20186,15092,153,15245,15100,153,15253
"Gazeta Krakowska","Polska Press Sp. z o.o.","sierpień 2015",22777,15950,264,16214,16242,264,16506
"Gazeta Lubuska","Polska Press Sp. z o.o.","sierpień 2015",24753,20277,233,20510,20282,233,20515
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","sierpień 2015",20307,13616,73,13689,13812,73,13885
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","sierpień 2015",37976,24108,1800,25908,24108,1800,25908
"Gazeta Polska Codziennie","Forum SA","sierpień 2015",57530,19131,145,19276,19131,270,19401
"Gazeta Pomorska","Polska Press Sp. z o.o.","sierpień 2015",43661,38490,381,38871,38570,381,38951
"Gazeta Wrocławska","Polska Press Sp. z o.o.","sierpień 2015",22082,15097,189,15286,15097,189,15286
"Gazeta Współczesna","Polska Press Sp. z o.o.","sierpień 2015",7616,5763,48,5811,5804,48,5852
"Gazeta Wyborcza","Agora SA","sierpień 2015",241527,151325,2216,153541,157826,16810,174636
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","sierpień 2015",27305,21080,187,21267,21266,187,21453
"Głos Wielkopolski","Polska Press Sp. z o.o.","sierpień 2015",35732,27874,150,28024,27878,150,28028
"Kurier Lubelski","Polska Press Sp. z o.o.","sierpień 2015",7138,3878,75,3953,3878,75,3953
"Kurier Poranny","Polska Press Sp. z o.o.","sierpień 2015",6572,5078,41,5119,5115,41,5156
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","sierpień 2015",19666,10473,57,10530,12397,57,12454
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","sierpień 2015",18689,13735,170,13905,14584,170,14754
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","sierpień 2015",15966,12261,81,12342,12266,81,12347
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","sierpień 2015",10402,2804,1822,4626,3180,2122,5302
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","sierpień 2015",10267,3491,70,3561,3491,70,3561
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","sierpień 2015",72095,36093,395,36488,36093,395,36488
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","sierpień 2015",12956,7738,2590,10328,9094,2590,11684
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","sierpień 2015",63102,45875,9570,55445,46266,9570,55836
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","sierpień 2015",12006,5955,23,5978,5955,23,5978
"Super Express","ZPR Media SA","sierpień 2015",247550,139799,0,139799,140519,0,140519
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","sierpień 2015",13166,7644,0,7644,7644,0,7644
"Sumy dla: wszystkich tytułów",,,42666888,27968939,712316,28681255,28408655,1174138,29582793
"Średnie dla: wszystkich tytułów",,,52871,34658,883,35541,35203,1455,36658
