Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","styczeń 2017",25761,17513,994,18507,17561,994,18555
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","styczeń 2017",62902,40030,10541,50571,43234,14130,57364
"Dziennik Łódzki","Polska Press Sp. z o.o.","styczeń 2017",25345,17126,461,17587,17319,461,17780
"Dziennik Polski","Polska Press Sp. z o.o.","styczeń 2017",23302,14871,129,15000,14944,129,15073
"Dziennik Wschodni","Corner Media Sp. z o.o.","styczeń 2017",9060,4976,0,4976,4976,0,4976
"Dziennik Zachodni","Polska Press Sp. z o.o.","styczeń 2017",47080,30351,636,30987,30351,636,30987
"Echo Dnia","Polska Press Sp. z o.o.","styczeń 2017",21592,14046,1231,15277,15023,1591,16614
"Express Bydgoski","Polska Press Sp. z o.o.","styczeń 2017",12741,9067,133,9200,9069,133,9202
"Express Ilustrowany","Polska Press Sp. z o.o.","styczeń 2017",29645,22045,14,22059,22230,14,22244
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","styczeń 2017",396148,279702,184,279886,279702,184,279886
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","styczeń 2017",16942,11433,320,11753,11444,320,11764
"Gazeta Krakowska","Polska Press Sp. z o.o.","styczeń 2017",20527,13300,565,13865,13324,565,13889
"Gazeta Lubuska","Polska Press Sp. z o.o.","styczeń 2017",20687,16225,240,16465,16233,240,16473
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","styczeń 2017",15827,10320,26,10346,10395,26,10421
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","styczeń 2017",32491,22959,1288,24247,22959,1288,24247
"Gazeta Polska Codziennie","Forum SA","styczeń 2017",66650,19266,334,19600,19266,344,19610
"Gazeta Pomorska","Polska Press Sp. z o.o.","styczeń 2017",39554,34311,791,35102,34311,791,35102
"Gazeta Wrocławska","Polska Press Sp. z o.o.","styczeń 2017",18737,12672,369,13041,12672,369,13041
"Gazeta Współczesna","Polska Press Sp. z o.o.","styczeń 2017",7336,4906,95,5001,5000,95,5095
"Gazeta Wyborcza","Agora SA","styczeń 2017",200306,116507,1744,118251,120078,11952,132030
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","styczeń 2017",23627,17164,201,17365,17286,201,17487
"Głos Wielkopolski","Polska Press Sp. z o.o.","styczeń 2017",33066,24660,432,25092,24664,432,25096
"Kurier Lubelski","Polska Press Sp. z o.o.","styczeń 2017",6967,3217,39,3256,3217,39,3256
"Kurier Poranny","Polska Press Sp. z o.o.","styczeń 2017",6250,4361,24,4385,4385,24,4409
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","styczeń 2017",16399,8664,59,8723,9604,59,9663
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","styczeń 2017",16590,10894,87,10981,12001,87,12088
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","styczeń 2017",13600,10228,118,10346,10229,118,10347
"Parkiet Gazeta Giełdy","Gremi Media S.A.","styczeń 2017",10967,2618,1940,4558,2668,2240,4908
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","styczeń 2017",8694,2775,75,2850,2775,75,2850
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","styczeń 2017",50584,23828,354,24182,23828,354,24182
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","styczeń 2017",12237,6495,2706,9201,8719,2706,11425
Rzeczpospolita,"Gremi Media S.A.","styczeń 2017",74165,40927,11523,52450,41000,11523,52523
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","styczeń 2017",9664,4467,16,4483,4467,16,4483
"Super Express","ZPR Media SA","styczeń 2017",228465,137108,0,137108,137828,0,137828
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","styczeń 2017",12769,7095,0,7095,7095,0,7095
"Sumy dla: wszystkich tytułów",,,39143550,24624105,862841,25486946,24941317,1209860,26151177
"Średnie dla: wszystkich tytułów",,,48565,30551,1071,31622,30945,1501,32446
