Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","kwiecień 2017",25376,17578,992,18570,17616,992,18608
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","kwiecień 2017",49848,30289,10487,40776,32400,14086,46486
"Dziennik Łódzki","Polska Press Sp. z o.o.","kwiecień 2017",25649,17142,324,17466,17592,324,17916
"Dziennik Polski","Polska Press Sp. z o.o.","kwiecień 2017",23141,14929,134,15063,15047,134,15181
"Dziennik Wschodni","Corner Media Sp. z o.o.","kwiecień 2017",9319,5278,0,5278,5282,0,5282
"Dziennik Zachodni","Polska Press Sp. z o.o.","kwiecień 2017",48154,30772,511,31283,30772,511,31283
"Echo Dnia","Polska Press Sp. z o.o.","kwiecień 2017",22764,14595,1299,15894,16227,1690,17917
"Express Bydgoski","Polska Press Sp. z o.o.","kwiecień 2017",12443,8978,93,9071,8980,93,9073
"Express Ilustrowany","Polska Press Sp. z o.o.","kwiecień 2017",30242,22046,55,22101,22356,55,22411
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","kwiecień 2017",396793,266230,177,266407,266230,177,266407
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","kwiecień 2017",18140,12320,421,12741,12333,421,12754
"Gazeta Krakowska","Polska Press Sp. z o.o.","kwiecień 2017",20481,13050,613,13663,13120,613,13733
"Gazeta Lubuska","Polska Press Sp. z o.o.","kwiecień 2017",21601,16805,503,17308,16814,503,17317
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","kwiecień 2017",15923,10290,61,10351,10306,61,10367
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","kwiecień 2017",29194,22026,1976,24002,22026,1976,24002
"Gazeta Polska Codziennie","Forum SA","kwiecień 2017",66597,18368,331,18699,18368,342,18710
"Gazeta Pomorska","Polska Press Sp. z o.o.","kwiecień 2017",38506,33203,651,33854,33203,651,33854
"Gazeta Wrocławska","Polska Press Sp. z o.o.","kwiecień 2017",18512,12501,650,13151,12551,650,13201
"Gazeta Współczesna","Polska Press Sp. z o.o.","kwiecień 2017",7382,4912,58,4970,5009,58,5067
"Gazeta Wyborcza","Agora SA","kwiecień 2017",206336,118864,1701,120565,123019,9987,133006
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","kwiecień 2017",22901,16740,558,17298,16898,558,17456
"Głos Wielkopolski","Polska Press Sp. z o.o.","kwiecień 2017",32383,24183,684,24867,24187,684,24871
"Kurier Lubelski","Polska Press Sp. z o.o.","kwiecień 2017",7210,3414,77,3491,3482,77,3559
"Kurier Poranny","Polska Press Sp. z o.o.","kwiecień 2017",6312,4367,157,4524,4528,157,4685
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","kwiecień 2017",16843,9093,108,9201,9943,108,10051
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","kwiecień 2017",16382,10714,399,11113,12079,399,12478
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","kwiecień 2017",13122,10122,74,10196,10123,74,10197
"Parkiet Gazeta Giełdy","Gremi Media S.A.","kwiecień 2017",10438,2552,1718,4270,2582,2018,4600
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","kwiecień 2017",8988,2744,252,2996,2744,252,2996
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","kwiecień 2017",53274,25436,346,25782,25436,346,25782
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","kwiecień 2017",12534,6505,3087,9592,8988,3087,12075
Rzeczpospolita,"Gremi Media S.A.","kwiecień 2017",70506,38047,11437,49484,38139,11437,49576
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","kwiecień 2017",10213,4927,16,4943,4927,16,4943
"Super Express","ZPR Media SA","kwiecień 2017",232813,132840,0,132840,133573,0,133573
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","kwiecień 2017",12697,6982,0,6982,6982,0,6982
"Sumy dla: wszystkich tytułów",,,37356431,22900389,846442,23746831,23230242,1129544,24359786
"Średnie dla: wszystkich tytułów",,,49153,30132,1114,31246,30566,1486,32052
