Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","maj 2017",24525,16629,639,17268,16677,639,17316
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","maj 2017",47893,28775,10608,39383,31150,14202,45352
"Dziennik Łódzki","Polska Press Sp. z o.o.","maj 2017",25202,16498,196,16694,16903,196,17099
"Dziennik Polski","Polska Press Sp. z o.o.","maj 2017",22868,14586,125,14711,14706,125,14831
"Dziennik Wschodni","Corner Media Sp. z o.o.","maj 2017",8888,4987,0,4987,4987,0,4987
"Dziennik Zachodni","Polska Press Sp. z o.o.","maj 2017",47946,30661,369,31030,30661,369,31030
"Echo Dnia","Polska Press Sp. z o.o.","maj 2017",21201,13534,910,14444,14600,1270,15870
"Express Bydgoski","Polska Press Sp. z o.o.","maj 2017",12009,8471,168,8639,8472,168,8640
"Express Ilustrowany","Polska Press Sp. z o.o.","maj 2017",29301,20567,12,20579,20752,12,20764
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","maj 2017",378584,259520,173,259693,259520,173,259693
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","maj 2017",17840,11947,218,12165,11957,218,12175
"Gazeta Krakowska","Polska Press Sp. z o.o.","maj 2017",21084,13144,512,13656,13208,512,13720
"Gazeta Lubuska","Polska Press Sp. z o.o.","maj 2017",20103,15475,152,15627,15483,152,15635
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","maj 2017",15262,9829,61,9890,9834,61,9895
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","maj 2017",28970,21957,2135,24092,21957,2135,24092
"Gazeta Polska Codziennie","Forum SA","maj 2017",66922,17791,322,18113,17791,329,18120
"Gazeta Pomorska","Polska Press Sp. z o.o.","maj 2017",37753,32484,170,32654,32484,170,32654
"Gazeta Wrocławska","Polska Press Sp. z o.o.","maj 2017",18341,12221,160,12381,12221,160,12381
"Gazeta Współczesna","Polska Press Sp. z o.o.","maj 2017",6945,4659,79,4738,4769,79,4848
"Gazeta Wyborcza","Agora SA","maj 2017",194039,110359,1639,111998,114669,10368,125037
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","maj 2017",22402,16235,86,16321,16397,86,16483
"Głos Wielkopolski","Polska Press Sp. z o.o.","maj 2017",31714,23298,587,23885,23302,587,23889
"Kurier Lubelski","Polska Press Sp. z o.o.","maj 2017",6877,3151,57,3208,3151,57,3208
"Kurier Poranny","Polska Press Sp. z o.o.","maj 2017",6381,4440,315,4755,4575,315,4890
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","maj 2017",16109,8410,72,8482,9274,72,9346
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","maj 2017",16514,10415,192,10607,12023,192,12215
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","maj 2017",12855,9711,117,9828,9712,117,9829
"Parkiet Gazeta Giełdy","Gremi Media S.A.","maj 2017",10727,2532,1681,4213,2629,1981,4610
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","maj 2017",8695,2488,430,2918,2488,430,2918
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","maj 2017",54232,25375,89,25464,25375,89,25464
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","maj 2017",12482,6485,3205,9690,8912,3205,12117
Rzeczpospolita,"Gremi Media S.A.","maj 2017",74720,37612,11404,49016,37695,11404,49099
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","maj 2017",10774,5245,18,5263,5245,18,5263
"Super Express","ZPR Media SA","maj 2017",224593,130634,0,130634,131354,0,131354
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","maj 2017",12283,6455,0,6455,6455,0,6455
"Sumy dla: wszystkich tytułów",,,37959316,23168352,807775,23976127,23509969,1114255,24624224
"Średnie dla: wszystkich tytułów",,,47213,28816,1005,29821,29241,1386,30627
