Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","lipiec 2017",23963,16051,199,16250,16097,199,16296
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","lipiec 2017",46755,28028,10678,38706,29708,13060,42768
"Dziennik Łódzki","Polska Press Sp. z o.o.","lipiec 2017",22671,14838,259,15097,15100,259,15359
"Dziennik Polski","Polska Press Sp. z o.o.","lipiec 2017",20745,13229,131,13360,13357,131,13488
"Dziennik Wschodni","Corner Media Sp. z o.o.","lipiec 2017",8845,4675,0,4675,4680,0,4680
"Dziennik Zachodni","Polska Press Sp. z o.o.","lipiec 2017",45096,26808,378,27186,26808,378,27186
"Echo Dnia","Polska Press Sp. z o.o.","lipiec 2017",19492,12118,356,12474,12610,679,13289
"Express Bydgoski","Polska Press Sp. z o.o.","lipiec 2017",11448,7956,97,8053,7957,97,8054
"Express Ilustrowany","Polska Press Sp. z o.o.","lipiec 2017",27163,18668,10,18678,18853,10,18863
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","lipiec 2017",389436,252401,176,252577,252401,176,252577
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","lipiec 2017",17119,11261,52,11313,11271,52,11323
"Gazeta Krakowska","Polska Press Sp. z o.o.","lipiec 2017",18974,11937,452,12389,11960,452,12412
"Gazeta Lubuska","Polska Press Sp. z o.o.","lipiec 2017",20152,15304,319,15623,15312,319,15631
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","lipiec 2017",14444,9330,55,9385,9547,55,9602
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","lipiec 2017",28758,21431,1890,23321,21431,1890,23321
"Gazeta Polska Codziennie","Forum SA","lipiec 2017",67528,18159,363,18522,18159,371,18530
"Gazeta Pomorska","Polska Press Sp. z o.o.","lipiec 2017",36215,30877,215,31092,30939,215,31154
"Gazeta Wrocławska","Polska Press Sp. z o.o.","lipiec 2017",17155,11168,182,11350,11168,182,11350
"Gazeta Współczesna","Polska Press Sp. z o.o.","lipiec 2017",6747,4443,16,4459,4589,16,4605
"Gazeta Wyborcza","Agora SA","lipiec 2017",188480,106155,1644,107799,110512,12275,122787
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","lipiec 2017",21973,15852,130,15982,15973,130,16103
"Głos Wielkopolski","Polska Press Sp. z o.o.","lipiec 2017",28892,21690,94,21784,21694,94,21788
"Kurier Lubelski","Polska Press Sp. z o.o.","lipiec 2017",6816,2917,76,2993,2917,76,2993
"Kurier Poranny","Polska Press Sp. z o.o.","lipiec 2017",5912,4047,23,4070,4102,23,4125
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","lipiec 2017",14381,8227,75,8302,9077,75,9152
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","lipiec 2017",14539,9781,210,9991,10302,210,10512
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","lipiec 2017",12444,9261,81,9342,9261,81,9342
"Parkiet Gazeta Giełdy","Gremi Media S.A.","lipiec 2017",10600,2500,1649,4149,2529,1949,4478
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","lipiec 2017",8586,2639,127,2766,2639,127,2766
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","lipiec 2017",60868,29494,378,29872,29494,378,29872
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","lipiec 2017",10448,6374,3278,9652,6946,3278,10224
Rzeczpospolita,"Gremi Media S.A.","lipiec 2017",75082,37606,11235,48841,37652,11235,48887
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","lipiec 2017",10356,5121,17,5138,5121,17,5138
"Super Express","ZPR Media SA","lipiec 2017",220205,127493,0,127493,128213,0,128213
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","lipiec 2017",11952,5957,0,5957,5957,0,5957
"Sumy dla: wszystkich tytułów",,,38870517,23229861,800691,24030552,23487311,1143525,24630836
"Średnie dla: wszystkich tytułów",,,46776,27954,964,28918,28264,1376,29640
