TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country or locality;;2015;;2016;;2017;;2018;;2019;;
Afghanistan;;70;;101;;180;;110;;30;;
Albania;;1,980;;1,680;r;1,930;r;1,940;r;2,000;e;
Algeria;;20,250;;23,540;r;28,650;r;31,100;r;27,700;e;
Angola;;5,240;;3,870;r;2,570;r;2,700;r;2,900;;
Argentina;;12,193;;10,899;;11,960;;11,842;;11,100;e;
Armenia;;417;;267;;356;;546;;591;;
Australiae;;9,500;;9,600;;9,700;;10,200;;10,600;;
Austria;;4,700;r;4,800;;4,900;;5,200;;5,300;e;
Azerbaijan;;2,683;;2,310;;2,955;;3,445;;3,488;;
Bahrain;;1,050;r;1,390;r;1,490;r;1,600;r, e;1,760;e;
Bangladeshe, 2;;24,000;r;25,000;r;27,000;r;30,100;r;33,300;;
Barbadose;;160;;160;;160;;160;;160;;
Belarus;;4,638;;4,503;;4,490;;4,519;;4,728;;
Belgium;;6,275;;6,255;;6,513;;6,737;;7,050;e;
Benin;;1,382;;1,356;;1,373;r;2,530;r;2,500;e;
Bhutan;;791;;940;;895;;941;;1,190;e;
Bolivia;;3,468;;3,601;;3,611;;3,650;e;4,200;e;
Bosnia and Herzegovina;;808;;841;;910;;995;;955;;
Botswana;;15;;15;;15;;1;r, e;--;e;
Brazil;;65,283;;57,557;;54,004;;53,553;r;54,400;e;
Bruneie;;230;;250;;270;;290;;290;;
Bulgaria;;2,114;;1,994;;2,117;;2,331;r;2,456;;
Burkina Faso;;1,350;r;1,650;r;1,800;r;1,980;r, e;2,200;e;
Burma3;;989;;2,520;;5,480;;6,500;r, e;7,700;e;
Burundie;;100;;100;;45;;100;r;75;;
Cambodia;;1,700;e;2,100;e;3,400;;4,900;e;7,870;;
Cameroone;;1,700;r;2,300;r;2,600;r;2,800;r;3,000;;
Canada;;12,167;;11,693;;12,706;;13,554;;13,200;e;
Chad;;220;r;250;;350;r;400;r, e;420;e;
Chile;;4,320;r;4,310;r;4,000;r;3,990;r, e;4,210;e;
China;;2,359,000;;2,410,000;;2,331,000;;2,208,000;r;2,280,000;e;
Colombia;;13,153;;12,495;;12,299;;12,452;;12,900;e;
Congo, Brazzavillee;;700;;950;;1,050;;700;r;730;;
Congo, Kinshasa;;399;;253;;900;;1,048;r;1,164;;
Costa Ricae;;1,600;;1,600;;1,800;;1,900;;1,900;;
Cote d'Ivoire;;3,100;;3,600;;3,500;;4,000;e;4,400;e;
Croatia;;2,340;;2,267;;2,608;r;2,490;r;2,540;e;
Cuba;;1,518;;1,493;;1,431;;1,590;;1,407;;
Cyprus;;788;;1,019;;1,319;;1,358;;1,537;;
Czechia;;3,781;;3,937;;4,043;;4,428;;4,569;;
Denmark;;3,047;;3,404;;3,554;;3,343;;3,354;;
Djibouti;;140;r;130;r;160;r;180;r, e;200;e;
Dominican Republic;;5,181;;5,171;;5,254;;5,430;r;5,600;;
Ecuadore;;5,860;r;5,550;r;5,690;r;5,760;r;6,270;;
Egypt;;53,940;;55,000;;68,500;;81,200;;47,400;e;
El Salvador;;990;r;880;r;900;r;1,090;r, e;1,180;e;
Eritreae;;200;;200;;210;;280;;280;;
Estonia;;390;;399;;503;;527;;406;;
Ethiopiae, 4;;7,500;;8,300;;9,000;;9,300;;10,100;;
Fiji;;204;;219;;141;;143;;144;e;
Finlande;;1,300;;1,300;;1,300;;1,300;;1,460;;
France;;15,600;;15,900;;16,900;;16,500;r;16,700;e;
French Guiana;;76;;91;;80;;93;r;95;e;
Gabon;;200;;340;r;370;r;490;e;540;e;
Georgia;;1,759;;1,809;;2,058;;1,981;r;2,769;;
Germany;;31,150;;32,737;;33,991;;33,633;;33,900;e;
Ghana;;3,830;;4,310;r;3,940;r;4,990;r, e;5,990;e;
Greece;;5,289;;6,540;;6,246;;6,580;;6,470;e;
Guadeloupee;;300;;300;;300;;310;;310;;
Guatemala;;3,670;r;3,360;r;3,440;r;3,520;r, e;3,560;e;
Guinea;;900;r;1,160;r;1,280;r;1,380;r, e;1,500;e;
Guyanae;;100;;400;;400;;410;;410;;
Haitie;;200;;200;;200;;200;;200;;
Honduras;;1,700;e;1,840;r;2,140;r;1,960;r, e;1,840;e;
Hong Kong;;1,930;r;1,840;r;1,580;r;1,640;r, e;1,600;e;
Hungarye;;1,570;;1,280;;1,660;;1,670;;2,240;;
India;;260,000;;280,000;e;283,000;r, e;298,000;;338,000;e;
Indonesia;;59,850;;62,000;e;69,279;;75,213;;69,500;e;
Iran;;58,600;;55,000;e;55,000;e;58,000;e;60,000;e;
Iraqe;;10,000;;12,000;r;13,000;r;14,000;r;15,000;;
Irelande;;2,980;;3,100;;3,200;;3,290;;3,290;;
Israel;;6,904;;7,150;;6,361;;5,858;r;4,700;e;
Italy;;20,800;;19,300;;19,300;;19,300;r;19,290;;
Jamaica;;808;;911;;846;r;787;r;759;;
Japan;;54,827;;53,255;;55,195;;55,307;;53,462;;
Jordan;;4,500;;4,530;r;4,680;r;4,680;r, e;5,050;e;
Kazakhstan;;8,729;;9,204;;9,398;;9,913;r;9,770;e;
Kenya;;6,353;;6,715;;6,230;r;6,070;r;5,967;;
Korea, North;;6,700;;7,080;;6,840;;5,830;r;6,500;e;
Korea, Republic of;;52,044;;56,747;;57,400;;57,500;e;50,000;e;
Kosovoe;;590;;710;;840;;850;;816;;
Kuwaite;;3,100;;4,000;r;3,400;r;3,300;r;3,500;;
Kyrgyzstan;;1,496;;1,302;;1,505;;1,931;;2,005;;
Laos;;3,099;;3,407;;3,938;;4,800;r;5,370;e;
Latviae;;1,100;;1,000;;1,000;r;1,000;;1,000;;
Lebanon;;5,500;;5,300;r;5,200;r;4,800;r, e;4,900;e;
Liberia;;298;;241;;285;;314;;340;;
Libya;;5,000;;4,100;r;4,500;r;4,500;r, e;4,200;e;
Lithuania;;980;;1,010;;1,023;;1,151;;1,223;;
Luxembourg;;1,080;;1,100;e;1,100;e;1,100;e;1,100;e;
Macedonia;;672;;855;;901;;921;;896;;
Madagascar;;150;;150;;200;r;210;e;230;e;
Malawi;;155;r;151;;211;;232;;243;;
Malaysia;;24,710;;22,330;;18,800;;20,000;e;18,000;e;
Mali;;630;;650;r;670;r;690;r, e;1,000;e;
Martiniquee;;150;;150;;150;;150;;150;;
Mauritania;;860;;790;r;850;r;920;r, e;970;e;
Mexico;;39,613;;40,577;;41,601;;48,328;;43,400;e;
Moldova;;1,045;;975;;1,116;;1,233;r;1,320;e;
Mongolia;;410;;432;;675;;934;;1,098;;
Morocco;;14,460;;14,260;r;14,850;r;15,300;r;13,700;e;
Mozambique;;1,585;5;2,446;;2,350;;2,400;e;2,610;e;
Namibia;;796;;778;;780;e;930;r, e;1,000;e;
Nepal;;3,910;;5,000;e;6,000;e;9,000;e;9,860;e;
Netherlands;;2,260;;2,930;r;2,030;r;2,390;r, e;2,350;e;
New Caledonia;;112;;112;;104;;86;;77;;
New Zealande;;1,200;;900;;360;;450;;940;;
Nicaragua;;740;r;780;r;780;r;680;r, e;600;e;
Niger;;51;;51;e;51;e;52;e;260;e;
Nigeriae;;21,000;;22,000;;19,000;;21,000;;22,600;;
Norway;;1,640;r;1,660;r;1,880;r;1,770;r;1,760;e;
Omane;;5,300;;5,500;;4,900;r;5,300;r;5,200;;
Pakistan;;33,232;;37,020;;38,900;;40,800;r;40,200;e;
Panama;;1,970;r;1,900;r;1,920;r;1,670;r, e;1,470;e;
Papua New Guineae;;200;;200;;200;;200;;200;;
Paraguaye;;1,300;r;1,300;;1,500;r;1,500;r;1,500;;
Peru;;10,410;;10,094;;9,980;;10,049;;10,574;;
Philippines;;24,050;;25,000;e;26,000;e;28,500;r, e;30,500;e;
Poland;;15,206;;15,782;;17,254;;18,957;;18,946;;
Portugal;;5,620;;4,100;r;3,790;r;3,960;r, e;4,050;e;
Qatar;;6,880;;6,700;r, e;6,000;r, e;4,800;r, e;4,500;e;
Reunion;;250;;170;e;180;e;200;e;250;e;
Romania;;8,356;;8,038;;8,442;;8,951;;9,932;;
Russia;;62,104;;54,935;;54,721;;53,678;;55,900;e;
Rwandae;;180;;350;;390;;400;;450;;
Saudi Arabia;;61,900;;55,943;;47,134;;42,181;;42,300;e;
Senegal;;4,615;;5,149;;5,197;;5,412;;6,900;e;
Serbia;;1,654;;1,801;;1,908;;2,093;r;2,310;e;
Sierra Leone;;324;;320;e;324;e;325;e;350;e;
Slovakia;;3,466;;3,518;;3,782;;3,913;r;4,031;;
Sloveniae;;600;;700;;660;;680;;1,050;;
South Africa;;12,992;;13,000;;13,170;r;12,500;r, e;12,400;e;
Spain;;15,000;e;15,000;e;14,500;;14,600;e;17,100;e;
Sri Lanka;;2,287;;2,695;;2,819;;2,841;;3,960;e;
Sudan;;3,708;;4,013;;4,326;;4,053;;4,000;e;
Suriname;;70;;20;;30;;30;;30;e;
Sweden;;2,840;r;2,840;r;3,020;r;3,200;r;2,720;e;
Switzerland;;4,390;;4,710;;4,580;r, e;4,290;r;4,210;;
Syria;;1,850;;2,450;r;2,120;r;2,150;r, e;2,200;e;
Taiwan;;13,445;;12,126;;10,876;;10,939;;11,254;;
Tajikistan;;1,418;;1,361;;3,117;;3,844;;4,202;;
Tanzania;;3,135;;4,071;;4,200;;4,509;;6,514;;
Thailand;;36,216;;34,860;r;33,587;;32,660;r;34,500;e;
Togo5;;1,460;r;1,470;r;1,370;r;1,410;r, e;1,510;e;
Trinidad and Tobago;;840;;721;;670;;663;r;678;;
Tunisia;;9,507;;9,028;;8,053;;7,850;;8,096;;
Turkey;;71,419;;75,403;;80,552;;72,544;;57,400;e;
Turkmenistane;;3,300;;3,500;;3,600;;3,800;;3,990;;
Uganda;;2,331;r;2,494;;2,511;r;2,200;r, e;3,890;e;
Ukraine;;8,511;;9,023;;9,003;;9,241;r;9,201;;
United Arab Emiratese;;20,500;;16,900;r;17,400;r;16,300;r;16,400;;
United Kingdom;;9,235;;9,370;;9,359;;9,197;;9,079;;
United States6;;84,940;;85,153;;86,799;;88,021;r;89,000;e;
Uruguay;;902;r;742;;817;;812;;737;;
Uzbekistan;;8,350;r;8,470;r;8,930;r;9,200;r, e;11,400;e;
Venezuela;;8,210;;5,790;r;5,410;r;5,100;r, e;4,500;e;
Vietnam;;67,645;;74,457;;81,488;r;89,121;r;96,919;;
Yemen;;2,530;;1,400;r;1,920;r;1,880;r, e;1,900;e;
Zambia;;1,800;e;2,000;e;2,210;;2,751;;2,480;e;
Zimbabwe;;1,510;;1,190;r;1,210;r;1,440;r, e;1,470;e;
Totale;;4,060,000;r;4,140,000;r;4,100,000;r;4,050,000;;4,130,000;;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;;;
1Table includes data available through November 12, 2020. All data are reported unless otherwise noted. Totals, U.S. data, and estimated data are rounded to no more than three significant digits, may not add to totals shown. Data may include clinker exports for some countries.;;;;;;;;;;;;
2Production is based on fiscal year, with a starting date of June 30 of the year shown.;;;;;;;;;;;;
3Production is based on fiscal year, with a starting date of March 31 of the year shown.;;;;;;;;;;;;
4Production is based on fiscal year, with a starting date of July 7 of the year shown.;;;;;;;;;;;;
5Cement sales from Cimentos de Moçambiqu SARL (Sociedade Anónima de Responsabilidade Limitada) only.;;;;;;;;;;;;
6Portland and masonry cements only. Includes a small (less than 0.5% per year) component of double-counting where portland cement (not clinker) is consumed to make masonry cement; the precise amount of double-counting cannot be determined because of the involvement of portland cement stockpiles.;;;;;;;;;;;;
