TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2004;;2005;;2006;;2007;;2008;;
Albania;;120;r;180;r;206;r;263;r;300;e;
Algeria;;1,014;;1,007;;1,158;;1,278;;646;;
Argentina;;5,133;;5,386;;5,533;;5,387;;5,400;e;
Australia;;8,353;;7,788;;7,937;;8,047;;7,777;;
Austria;;6,530;;7,031;;7,129;r;7,578;r;7,630;;
Azerbaijan;;90;;286;;54;;273;;300;e;
Bangladeshe, 5;;25;;20;;10;r;--;6;--;;
Belarus;;1,900;;2,076;;2,100;;2,214;;2,660;;
Belgium;;11,698;;8,906;;11,238;;10,692;r;10,860;;
Bosnia and Herzegovina, ingot production;;117;;283;;469;;514;r;588;;
Brazil7;;32,918;;31,631;;30,901;r;33,782;r;33,713;;
Bulgaria;;2,106;;1,969;;2,124;;1,909;r;1,330;;
Burmae;;25;;25;;25;;25;;25;;
Canada;;16,305;;15,327;;15,493;;15,569;;15,100;e;
Chile7;;1,579;;1,536;;1,627;;1,679;r;1,560;e;
China8;;272,450;;353,240;;419,150;;489,290;r;500,490;;
Colombia;;730;e;842;;1,221;;1,260;;1,200;e;
Croatia;;80;;74;;81;;76;r;85;e;
Cuba;;193;;245;;257;;262;r;274;;
Czech Republic;;7,033;;6,189;;6,862;;7,059;;6,386;;
Ecuador;;72;;84;;85;;87;;85;e;
Egypt;;4,810;r;5,603;r;6,045;r;6,224;r;6,198;;
El Salvador;;59;;48;;72;;73;;72;e;
Ethiopia, all from scrape;;30;;60;;60;;110;;150;;
Finland;;4,833;;4,738;;5,052;;4,431;r;5,000;e;
France;;20,770;;19,481;;19,857;;19,252;;17,874;;
Germany;;46,374;;44,524;;47,224;;48,550;;45,833;;
Ghana, all from scrape;;25;;25;;25;;25;;25;;
Greece;;1,967;;2,266;;2,416;;2,554;r;2,400;e;
Guatemala;;232;;207;;292;;349;;300;e;
Hong Konge;;500;;500;;550;;550;;550;;
Hungary;;1,944;r;2,005;r;2,144;r;2,317;r;2,096;;
India;;32,600;;45,800;;49,500;;53,100;;55,200;;
Indonesia;;3,682;r;3,675;;3,759;r;3,900;;3,600;;
Iran;;8,682;;9,405;;9,789;r;10,051;r;9,960;e;
Israele;;370;;480;;480;;480;;480;;
Italy;;28,317;;29,061;;31,550;;31,990;;30,477;;
Japan;;112,718;;112,471;;116,266;;120,203;;118,739;;
Jordane;;140;6;150;;150;;150;;150;;
Kazakhstan;;5,372;;4,477;;4,245;;4,784;;4,286;;
Korea, Northe;;1,070;;1,070;;1,180;;1,230;;1,279;6;
Korea, Republic of;;47,521;;47,820;;48,455;;51,517;;53,322;;
Latviae;;554;6;550;;550;;550;;550;;
Libya;;1,026;;1,255;r;1,151;;1,151;r;1,137;;
Luxembourg;;2,684;;2,194;;2,802;;2,800;e;2,640;;
Macedonia;;314;r;326;r;360;r;372;r;370;e;
Malaysia;;5,698;;5,296;;5,834;;6,895;r;6,500;e;
Mauritania;;5;e;1;;1;;1;r;2;;
Mexico;;16,737;;16,202;;16,313;;17,573;r;17,230;p;
Moldova;;1,013;;1,016;;675;;995;;885;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2004;;2005;;2006;;2007;;2008;;
Montenegro;;151;r, 9, 10;104;r, 9, 10;163;r;174;r;175;e;
Morocco;;5;e;205;;314;;314;;310;;
Netherlands;;6,848;;6,919;;6,372;;6,400;e;6,880;;
New Zealand;;850;;889;;862;;845;;853;e;
Norwaye;;695;;701;;679;;680;;680;;
Pakistan;;1,145;;825;;1,040;;1,090;;1,100;;
Paraguay;;107;;101;;115;;95;r;85;e;
Peru;;725;;790;;896;;881;r;1,150;e;
Philippines;;550;r;470;;558;;718;r;800;e;
Poland;;10,578;;8,336;;9,992;;10,621;r;9,727;;
Portugal;;730;;1,400;;1,400;;1,400;e;1,400;e;
Qatar;;1,089;;1,057;;1,003;;1,147;;1,406;;
Romania;;6,077;;5,632;;6,266;;6,261;;5,035;;
Russia;;65,646;;66,186;;70,816;;72,389;;68,700;;
Saudi Arabia;;3,902;;4,185;;3,974;;4,644;r;4,670;e;
Serbia;;1,167;r, 9, 10;1,286;r, 9, 10;1,837;;1,478;r;1,662;;
Serbia and Montenegro;;--;r, 9, 10;--;r, 9, 10;--;r;--;r;--;;
Singaporee;;610;;572;;607;;620;;600;;
Slovakia;;4,564;;4,242;;4,848;;4,800;;4,800;e;
Slovenia;;566;;583;;627;;638;;670;;
South Africa;;9,500;;9,494;;9,718;;9,098;r;8,550;;
Spain;;17,621;r;17,826;r;18,391;r;18,999;r;19,048;;
Sri Lankae;;30;;30;;30;;30;;30;;
Sweden;;5,949;;5,692;;5,435;;5,673;r;5,500;e;
Switzerland;;1,000;e;1,158;;1,252;;1,264;;1,260;;
Syriae;;70;;70;;70;;70;;63;6;
Taiwan;;19,604;;18,567;;19,203;;20,883;r;19,222;;
Thailand;;4,533;;5,161;;5,210;;5,470;;5,470;e;
Trinidad and Tobago;;815;;711;;674;;682;r;675;e;
Tunisia;;70;;66;;68;;61;;80;;
Turkey;;20,478;;20,960;;23,308;;25,750;;26,400;e;
Uganda;;30;;30;;30;;30;;30;;
Ukraine;;38,740;;38,636;;40,899;;42,830;;37,107;;
United Arab Emiratese;;70;;70;;70;;90;;90;;
United Kingdom;;13,766;;13,210;;13,931;;14,300;;13,538;;
United States;;99,700;;94,900;;98,200;;98,100;;91,900;;
Uruguay;;58;;64;;57;;71;;85;e;
Uzbekistane;;602;6;607;6;730;;740;;680;;
Venezuela;;4,561;r;4,907;;4,864;r;5,005;r;4,240;e;
Vietnam;;689;;890;;1,860;r;2,024;r;2,020;e;
Zimbabwe;;135;;107;;24;;23;;10;e;
    Total;;1,060,000;r;1,140,000;r;1,250,000;r;1,350,000;r;1,330,000;;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.  ;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported  ;;;;;;;;;;;;
as “liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Table includes data available through August 25, 2009.;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
4In addition to the countries listed, Mozambique is known to have steelmaking plants, but available information is inadequate  ;;;;;;;;;;;;
to make reliable estimates of output levels.;;;;;;;;;;;;
5Data for year ending June 30 of that stated.;;;;;;;;;;;;
6Reported figure.;;;;;;;;;;;;
7Excludes castings.;;;;;;;;;;;;
8Figures reported by the State Statistical Bureau that the Government of China considers as official statistical data.;;;;;;;;;;;;
9Montenegro and Serbia formally declared independence from each other in June 2006 and dissolved their union.;;;;;;;;;;;;
10Production is reported individually now.;;;;;;;;;;;;
